Dataset,Feature,Mean,Std,Min,Max,Median,Skewness,Unique Values,Zero Values
UNSW-NB15,duration,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,"39,888",0
UNSW-NB15,total_bytes,0.1119,0.0001,0.1119,0.1182,0.1119,37.77,"7,256",0
UNSW-NB15,total_pkts,0.0030,0.0000,0.0030,0.0032,0.0030,8.78,"41,005",0
UNSW-NB15,bytes_per_sec,0.9995,0.0000,0.9995,0.9995,0.9995,0.00,"41,343",0
UNSW-NB15,pkts_per_sec,0.5822,0.0018,0.5820,0.6079,0.5820,9.81,"42,212",0
UNSW-NB15,fwd_bytes,0.0006,0.0120,0.0000,1.0000,0.0000,53.78,"4,489",0
UNSW-NB15,bwd_bytes,0.0009,0.0103,0.0000,1.0000,0.0000,52.55,"4,034","36,006"
UNSW-NB15,syn_count,0.0091,0.0220,0.0000,1.0000,0.0001,13.81,"24,934","41,127"
UNSW-NB15,ack_count,0.0030,0.0000,0.0030,0.0030,0.0030,0.00,"26,130",0
UNSW-NB15,flag_sum,0.0030,0.0000,0.0030,0.0030,0.0030,0.00,"27,018",0
CICIDS2017,duration,0.0804,0.2316,0.0000,1.0000,0.0001,3.05,"712,955",1
CICIDS2017,total_bytes,0.1125,0.0103,0.0000,1.0000,0.1119,52.36,"1,196,514",1
CICIDS2017,total_pkts,0.0037,0.0042,0.0000,1.0000,0.0031,134.58,"1,224,105",17
CICIDS2017,bytes_per_sec,0.9995,0.0009,0.0000,1.0000,0.9995,-991.43,"116,293",1
CICIDS2017,pkts_per_sec,0.5820,0.0036,0.0000,1.0000,0.5820,-160.46,"154,850",17
CICIDS2017,fwd_bytes,0.0000,0.0001,0.0000,0.0153,0.0000,249.18,"1,257","288,602"
CICIDS2017,bwd_bytes,0.0000,0.0001,0.0000,0.0199,0.0000,249.18,"1,534","585,433"
CICIDS2017,syn_count,0.0135,0.0632,0.0000,0.3099,0.0000,4.48,2,"2,088,690"
CICIDS2017,ack_count,0.0037,0.0042,0.0000,1.0000,0.0031,134.57,"1,265,593",1
CICIDS2017,flag_sum,0.0037,0.0042,0.0000,1.0000,0.0031,134.57,"1,267,433",1
